Building Geometry;Zone surface m�;Exterior wall surface;Height m;Volume m�;North-oriented Window area;South-oriented Window area;West-oriented Window area;East-oriented Window area;U wall;U ceiling;U floor;U window;Solar factor
B22;3192;3518;15;39790.5;668;877.2;177.6;185.3;1;0.68;1.2;4.8;7.60E-01
B40;1255;951.5;10;8200;/;/;/;/;1;0.68;1.2;4.8;7.60E-01
B41-TOTAL;4189;3393;;26029;288.7;193.2;177;183.2;1;0.68;1.2;4.8;7.60E-01
B41-Bloc1;513;460;9;4140;36;37.6;21.9;50.4;1;0.68;1.2;4.8;7.60E-01
B41-Bloc2;793;679;9;6111;56.8;42.3;46.7;21.9;1;0.68;1.2;4.8;7.60E-01
B41-Bloc3;605;508;7;3556;31.6;11.7;11.7;19.9;1;0.68;1.2;4.8;7.60E-01
B41-Bloc4;437;420;7;2940;23.2;12.9;12.9;12.8;1;0.68;1.2;4.8;7.60E-01
B41-Bloc5;858;637;7;4459;51.3;24.3;25.1;30.4;1;0.68;1.2;4.8;7.60E-01
B41-Bloc6;983;689;7;4823;89.8;64.4;58.7;47.8;1;0.68;1.2;4.8;7.60E-01
B42-TOTAL;3931; ;;31477.5;338.25;378.56;74.3;34.4;1;0.68;1.2;4.8;7.60E-01
B42-Bloc1;470;307;12;5640;31.5;75.7;20.5;18.7;1;0.68;1.2;4.8;7.60E-01
B42-Bloc2;594;416;6;3564;88.5;72.36;7.4;6;1;0.68;1.2;4.8;7.60E-01
B42-Bloc3;763;582;9;6867;71;69;1.24;1.44;1;0.68;1.2;4.8;7.60E-01
B42-Bloc4;533;491;10;5330;51.25;66;6.63;2;1;0.68;1.2;4.8;7.60E-01
B42-Bloc5;688;641;9;6192;30;28;26.11;0;1;0.68;1.2;4.8;7.60E-01
B42-Bloc6;457;358;8.5;3884.5;66;67.5;12.42;6.24;1;0.68;1.2;4.8;7.60E-01
B42-Bloc7;-379;piste de trot => b�timent ouvert;6;2274;piste de trot => b�timent ouvert et non chauff�;;;;1;0.68;1.2;4.8;7.60E-01
B44;1749;750;8.75;15303;27.1;120.8;135.7;146.4;1;0.68;1.2;4.8;7.60E-01
B45;343;290;10.5;3585;21;5;5;5;1;0.68;1.2;4.8;7.60E-01

