YEAR;MO;DY;HOUR;T
2022;1;1;0;12
2022;1;1;1;12
2022;1;1;2;11
2022;1;1;3;11
2022;1;1;4;11
2022;1;1;5;10
2022;1;1;6;10
2022;1;1;7;10
2022;1;1;8;10
2022;1;1;9;10
2022;1;1;10;11
2022;1;1;11;12
2022;1;1;12;12
2022;1;1;13;12
2022;1;1;14;12
2022;1;1;15;12
2022;1;1;16;11
2022;1;1;17;11
2022;1;1;18;11
2022;1;1;19;11
2022;1;1;20;11
2022;1;1;21;10
2022;1;1;22;10
2022;1;1;23;10
2022;1;2;0;10
2022;1;2;1;11
2022;1;2;2;10
2022;1;2;3;10
2022;1;2;4;10
2022;1;2;5;10
2022;1;2;6;10
2022;1;2;7;11
2022;1;2;8;11
2022;1;2;9;11
2022;1;2;10;11
2022;1;2;11;11
2022;1;2;12;12
2022;1;2;13;12
2022;1;2;14;12
2022;1;2;15;12
2022;1;2;16;11
2022;1;2;17;11
2022;1;2;18;11
2022;1;2;19;11
2022;1;2;20;10
2022;1;2;21;10
2022;1;2;22;10
2022;1;2;23;10
2022;1;3;0;9
2022;1;3;1;9
2022;1;3;2;8
2022;1;3;3;8
2022;1;3;4;9
2022;1;3;5;9
2022;1;3;6;9
2022;1;3;7;9
2022;1;3;8;9
2022;1;3;9;9
2022;1;3;10;9
2022;1;3;11;9
2022;1;3;12;9
2022;1;3;13;9
2022;1;3;14;8
2022;1;3;15;9
2022;1;3;16;9
2022;1;3;17;9
2022;1;3;18;8
2022;1;3;19;8
2022;1;3;20;8
2022;1;3;21;8
2022;1;3;22;7
2022;1;3;23;7
2022;1;4;0;7
2022;1;4;1;7
2022;1;4;2;7
2022;1;4;3;7
2022;1;4;4;6
2022;1;4;5;6
2022;1;4;6;6
2022;1;4;7;6
2022;1;4;8;6
2022;1;4;9;6
2022;1;4;10;6
2022;1;4;11;6
2022;1;4;12;6
2022;1;4;13;6
2022;1;4;14;6
2022;1;4;15;6
2022;1;4;16;6
2022;1;4;17;6
2022;1;4;18;6
2022;1;4;19;6
2022;1;4;20;5
2022;1;4;21;4
2022;1;4;22;2
2022;1;4;23;2
2022;1;5;0;2
2022;1;5;1;2
2022;1;5;2;1
2022;1;5;3;1
2022;1;5;4;0
2022;1;5;5;0
2022;1;5;6;0
2022;1;5;7;0
2022;1;5;8;1
2022;1;5;9;1
2022;1;5;10;2
2022;1;5;11;2
2022;1;5;12;3
2022;1;5;13;3
2022;1;5;14;4
2022;1;5;15;4
2022;1;5;16;3.55
2022;1;5;17;3.396666667
2022;1;5;18;3.463333333
2022;1;5;19;3.371666667
2022;1;5;20;3.468333333
2022;1;5;21;3.246666667
2022;1;5;22;3.143333333
2022;1;5;23;3.101666667
2022;1;6;0;3.045
2022;1;6;1;1.858333333
2022;1;6;2;1.823333333
2022;1;6;3;2.066666667
2022;1;6;4;1.983333333
2022;1;6;5;2.066666667
2022;1;6;6;1.491666667
2022;1;6;7;1.375
2022;1;6;8;1.088333333
2022;1;6;9;1.26
2022;1;6;10;1.25
2022;1;6;11;2.116666667
2022;1;6;12;2.34
2022;1;6;13;3.55
2022;1;6;14;3.376666667
2022;1;6;15;2.853333333
2022;1;6;16;2.951666667
2022;1;6;17;2.096666667
2022;1;6;18;1.36
2022;1;6;19;0.985
2022;1;6;20;0.86
2022;1;6;21;0.713333333
2022;1;6;22;0.68
2022;1;6;23;0.793333333
2022;1;7;0;1.2
2022;1;7;1;1.335
2022;1;7;2;1.738333333
2022;1;7;3;1.956666667
2022;1;7;4;1.988333333
2022;1;7;5;1.873333333
2022;1;7;6;1.066666667
2022;1;7;7;1.176666667
2022;1;7;8;1.32
2022;1;7;9;1.021666667
2022;1;7;10;1.265
2022;1;7;11;1.92
2022;1;7;12;2.735
2022;1;7;13;3.143333333
2022;1;7;14;3.1
2022;1;7;15;1.946666667
2022;1;7;16;2.306666667
2022;1;7;17;2.438333333
2022;1;7;18;1.905
2022;1;7;19;1.305
2022;1;7;20;1.355
2022;1;7;21;1.888333333
2022;1;7;22;2.163333333
2022;1;7;23;1.413333333
2022;1;8;0;0.405
2022;1;8;1;0.363333333
2022;1;8;2;0.57
2022;1;8;3;0.851666667
2022;1;8;4;1.04
2022;1;8;5;0.448333333
2022;1;8;6;0.55
2022;1;8;7;0.658333333
2022;1;8;8;0.706666667
2022;1;8;9;0.628333333
2022;1;8;10;0.64
2022;1;8;11;0.895
2022;1;8;12;1.205
2022;1;8;13;1.555
2022;1;8;14;1.651666667
2022;1;8;15;2.065
2022;1;8;16;2.478333333
2022;1;8;17;2.883333333
2022;1;8;18;3.075
2022;1;8;19;3.375
2022;1;8;20;3.553333333
2022;1;8;21;3.935
2022;1;8;22;4.148333333
2022;1;8;23;4.471666667
2022;1;9;0;4.858333333
2022;1;9;1;5.261666667
