YEAR;MO;DY;HOUR;P;T
2022.0;1.0;1.0;0.0;186.53333333333333;12.0
2022.0;1.0;1.0;1.0;185.15254237288136;12.0
2022.0;1.0;1.0;2.0;183.01694915254237;11.0
2022.0;1.0;1.0;3.0;196.64406779661016;11.0
2022.0;1.0;1.0;4.0;217.0;11.0
2022.0;1.0;1.0;5.0;205.15254237288136;10.0
2022.0;1.0;1.0;6.0;182.9322033898305;10.0
2022.0;1.0;1.0;7.0;219.864406779661;10.0
2022.0;1.0;1.0;8.0;204.01694915254237;10.0
2022.0;1.0;1.0;9.0;203.32203389830508;10.0
2022.0;1.0;1.0;10.0;184.23728813559322;11.0
2022.0;1.0;1.0;11.0;196.3050847457627;12.0
2022.0;1.0;1.0;12.0;171.4915254237288;12.0
2022.0;1.0;1.0;13.0;171.67796610169492;12.0
2022.0;1.0;1.0;14.0;173.71186440677965;12.0
2022.0;1.0;1.0;15.0;181.52542372881356;12.0
2022.0;1.0;1.0;16.0;189.03389830508473;11.0
2022.0;1.0;1.0;17.0;199.71186440677965;11.0
2022.0;1.0;1.0;18.0;172.74576271186442;11.0
2022.0;1.0;1.0;19.0;179.45762711864407;11.0
2022.0;1.0;1.0;20.0;179.28813559322035;11.0
2022.0;1.0;1.0;21.0;181.91525423728814;10.0
2022.0;1.0;1.0;22.0;183.57627118644066;10.0
2022.0;1.0;1.0;23.0;187.135593220339;10.0
2022.0;1.0;2.0;0.0;185.6271186440678;10.0
2022.0;1.0;2.0;1.0;184.0;11.0
2022.0;1.0;2.0;2.0;182.03389830508473;10.0
2022.0;1.0;2.0;3.0;196.74576271186442;10.0
2022.0;1.0;2.0;4.0;227.4915254237288;10.0
2022.0;1.0;2.0;5.0;182.28813559322035;10.0
2022.0;1.0;2.0;6.0;198.6949152542373;10.0
2022.0;1.0;2.0;7.0;215.15254237288136;11.0
2022.0;1.0;2.0;8.0;188.40677966101694;11.0
2022.0;1.0;2.0;9.0;201.28813559322035;11.0
2022.0;1.0;2.0;10.0;199.52542372881356;11.0
2022.0;1.0;2.0;11.0;184.0677966101695;11.0
2022.0;1.0;2.0;12.0;184.20338983050848;12.0
2022.0;1.0;2.0;13.0;187.4406779661017;12.0
2022.0;1.0;2.0;14.0;188.5593220338983;12.0
2022.0;1.0;2.0;15.0;176.27118644067798;12.0
2022.0;1.0;2.0;16.0;210.74576271186442;11.0
2022.0;1.0;2.0;17.0;180.54237288135593;11.0
2022.0;1.0;2.0;18.0;175.83050847457628;11.0
2022.0;1.0;2.0;19.0;175.5593220338983;11.0
2022.0;1.0;2.0;20.0;188.79661016949152;10.0
2022.0;1.0;2.0;21.0;178.3050847457627;10.0
2022.0;1.0;2.0;22.0;197.864406779661;10.0
2022.0;1.0;2.0;23.0;177.76271186440678;10.0
2022.0;1.0;3.0;0.0;183.64406779661016;9.0
2022.0;1.0;3.0;1.0;193.94915254237287;9.0
2022.0;1.0;3.0;2.0;223.11864406779662;8.0
2022.0;1.0;3.0;3.0;198.33898305084745;8.0
2022.0;1.0;3.0;4.0;233.6271186440678;9.0
2022.0;1.0;3.0;5.0;175.57627118644066;9.0
2022.0;1.0;3.0;6.0;209.10169491525423;9.0
2022.0;1.0;3.0;7.0;219.4406779661017;9.0
2022.0;1.0;3.0;8.0;235.83050847457628;9.0
2022.0;1.0;3.0;9.0;207.15254237288136;9.0
2022.0;1.0;3.0;10.0;199.38983050847457;9.0
2022.0;1.0;3.0;11.0;206.25423728813558;9.0
2022.0;1.0;3.0;12.0;202.6271186440678;9.0
2022.0;1.0;3.0;13.0;211.42372881355934;9.0
2022.0;1.0;3.0;14.0;213.72881355932202;8.0
2022.0;1.0;3.0;15.0;212.9322033898305;9.0
2022.0;1.0;3.0;16.0;216.89830508474577;9.0
2022.0;1.0;3.0;17.0;205.0677966101695;9.0
2022.0;1.0;3.0;18.0;196.864406779661;8.0
2022.0;1.0;3.0;19.0;200.64406779661016;8.0
2022.0;1.0;3.0;20.0;208.94915254237287;8.0
2022.0;1.0;3.0;21.0;196.33898305084745;8.0
2022.0;1.0;3.0;22.0;199.88135593220338;7.0
2022.0;1.0;3.0;23.0;204.864406779661;7.0
2022.0;1.0;4.0;0.0;216.91525423728814;7.0
2022.0;1.0;4.0;1.0;197.33898305084745;7.0
2022.0;1.0;4.0;2.0;229.64406779661016;7.0
2022.0;1.0;4.0;3.0;191.6949152542373;7.0
2022.0;1.0;4.0;4.0;201.22033898305085;6.0
2022.0;1.0;4.0;5.0;215.35593220338984;6.0
2022.0;1.0;4.0;6.0;204.57627118644066;6.0
2022.0;1.0;4.0;7.0;228.3050847457627;6.0
2022.0;1.0;4.0;8.0;275.728813559322;6.0
2022.0;1.0;4.0;9.0;262.23728813559325;6.0
2022.0;1.0;4.0;10.0;255.11864406779662;6.0
2022.0;1.0;4.0;11.0;263.79661016949154;6.0
2022.0;1.0;4.0;12.0;262.54237288135596;6.0
2022.0;1.0;4.0;13.0;252.01694915254237;6.0
2022.0;1.0;4.0;14.0;239.28813559322035;6.0
2022.0;1.0;4.0;15.0;267.6101694915254;6.0
2022.0;1.0;4.0;16.0;263.9830508474576;6.0
2022.0;1.0;4.0;17.0;221.6949152542373;6.0
2022.0;1.0;4.0;18.0;203.64406779661016;6.0
2022.0;1.0;4.0;19.0;196.38983050847457;6.0
2022.0;1.0;4.0;20.0;225.20338983050848;5.0
2022.0;1.0;4.0;21.0;198.83050847457628;4.0
2022.0;1.0;4.0;22.0;220.27118644067798;2.0
2022.0;1.0;4.0;23.0;245.1864406779661;2.0
2022.0;1.0;5.0;0.0;234.1864406779661;2.0
2022.0;1.0;5.0;1.0;228.38983050847457;2.0
2022.0;1.0;5.0;2.0;216.4915254237288;1.0
2022.0;1.0;5.0;3.0;239.15254237288136;1.0
2022.0;1.0;5.0;4.0;228.27118644067798;0.0
2022.0;1.0;5.0;5.0;235.72881355932202;0.0
2022.0;1.0;5.0;6.0;234.45762711864407;0.0
2022.0;1.0;5.0;7.0;255.75862068965517;0.0
2022.0;1.0;5.0;8.0;309.03389830508473;1.0
2022.0;1.0;5.0;9.0;342.52542372881356;1.0
2022.0;1.0;5.0;10.0;324.271186440678;2.0
2022.0;1.0;5.0;11.0;328.77966101694915;2.0
2022.0;1.0;5.0;12.0;309.1864406779661;3.0
2022.0;1.0;5.0;13.0;297.06779661016947;3.0
2022.0;1.0;5.0;14.0;307.8305084745763;4.0
2022.0;1.0;5.0;15.0;300.8135593220339;4.0
2022.0;1.0;5.0;16.0;307.35593220338984;3.55
2022.0;1.0;5.0;17.0;254.89830508474577;3.396666667
2022.0;1.0;5.0;18.0;220.3728813559322;3.463333333
2022.0;1.0;5.0;19.0;209.16949152542372;3.371666667
2022.0;1.0;5.0;20.0;238.59322033898306;3.468333333
2022.0;1.0;5.0;21.0;208.1864406779661;3.246666667
2022.0;1.0;5.0;22.0;228.77966101694915;3.143333333
2022.0;1.0;5.0;23.0;215.88135593220338;3.101666667
2022.0;1.0;6.0;0.0;272.20338983050846;3.045
2022.0;1.0;6.0;1.0;222.94915254237287;1.858333333
2022.0;1.0;6.0;2.0;233.15254237288136;1.823333333
2022.0;1.0;6.0;3.0;228.28813559322035;2.066666667
2022.0;1.0;6.0;4.0;238.23728813559322;1.983333333
