I_north;I_east;I_south;I_west
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.5;45.5;90.5;135.5
122.4;2229.55;4119.6;6242.45
920.08;5534.66;9109.92;14485.34
-4645.84;8904.63;25273.84;32423.37
-3231.41;14492.57;32544.41;44340.43
-1756.14;13657.04;28352.14;39668.96
-1521.21;12202.43;24540.21;34036.57
-627.91;5960.22;11605.91;16087.78
4.0;364.0;724.0;1084.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
13.5;1228.5;2443.5;3658.5
16.0;1456.0;2896.0;4336.0
-1605.82;6092.59;14784.82;20226.41
53.0;4823.0;9593.0;14363.0
43.5;3958.5;7873.5;11788.5
26.5;2411.5;4796.5;7181.5
-63.52;2687.68;5312.52;7781.32
4.5;409.5;814.5;1219.5
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
10.0;910.0;1810.0;2710.0
21.5;1956.5;3891.5;5826.5
32.0;2912.0;5792.0;8672.0
32.5;2957.5;5882.5;8807.5
41.0;3731.0;7421.0;11111.0
25.5;2320.5;4615.5;6910.5
-22.87;2619.39;5193.87;7681.61
1.5;136.5;271.5;406.5
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
9.5;864.5;1719.5;2574.5
26.5;2411.5;4796.5;7181.5
36.0;3276.0;6516.0;9756.0
52.5;4777.5;9502.5;14227.5
55.0;5005.0;9955.0;14905.0
43.0;3913.0;7783.0;11653.0
26.5;2411.5;4796.5;7181.5
2.0;182.0;362.0;542.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.5;45.5;90.5;135.5
14.5;1319.5;2624.5;3929.5
22.5;2047.5;4072.5;6097.5
31.5;2866.5;5701.5;8536.5
46.02;5321.9;10598.98;15853.1
52.5;4777.5;9502.5;14227.5
34.0;3094.0;6154.0;9214.0
-85.41;2970.78;5872.41;8576.22
4.5;409.5;814.5;1219.5
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
2.83;94.2;177.17;265.8
25.34;1555.0;3065.66;4596.0
32.0;2912.0;5792.0;8672.0
-83.46;6138.22;12449.46;18467.78
-240.33;8011.16;16294.33;23972.84
-39.62;7059.14;14117.62;20968.86
-39.96;5075.22;10113.96;14988.78
-629.87;6444.62;12602.87;17588.38
-290.92;1950.5;3554.92;4643.5
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.5;45.5;90.5;135.5
7.5;682.5;1357.5;2032.5
30.0;2730.0;5430.0;8130.0
38.5;3503.5;6968.5;10433.5
33.5;3048.5;6063.5;9078.5
40.5;3685.5;7330.5;10975.5
41.0;3731.0;7421.0;11111.0
1.18;2973.07;5903.82;8781.93
2.47;503.02;997.53;1486.98
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.5;45.5;90.5;135.5
17.0;1547.0;3077.0;4607.0
38.0;3458.0;6878.0;10298.0
49.0;4459.0;8869.0;13279.0
41.5;3776.5;7511.5;11246.5
53.0;4823.0;9593.0;14363.0
43.5;3958.5;7873.5;11788.5
29.5;2684.5;5339.5;7994.5
3.0;273.0;543.0;813.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.5;45.5;90.5;135.5
18.0;1638.0;3258.0;4878.0
36.0;3276.0;6516.0;9756.0
34.5;3139.5;6244.5;9349.5
55.5;5050.5;10045.5;15040.5
19.87;6463.77;12890.13;19226.23
-64.0;5263.49;10494.0;15516.51
-492.46;6052.55;11869.46;16754.45
-189.07;1670.87;3123.07;4233.13
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
1.0;91.0;181.0;271.0
685.65;4349.61;6547.35;10263.39
43.5;3958.5;7873.5;11788.5
61.5;5596.5;11131.5;16666.5
67.0;6097.0;12127.0;18157.0
71.5;6506.5;12941.5;19376.5
61.5;5596.5;11131.5;16666.5
-767.15;7604.26;14869.15;20717.74
-345.51;2441.29;4497.51;5940.71
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0
15.89;206.21;333.11;502.79
1368.12;6580.24;8815.88;14133.76
9407.64;17764.7;14085.36;29668.3
-10941.89;13131.65;44177.89;53764.35
