Temperature C;U_wind (m/s)
12;3.9
12;3.9
11;4
11;4.2
11;4
10;3.9
10;4
10;4.2
10;4.3
10;4.3
11;4.4
12;4.7
12;4.7
12;4.7
12;4.9
12;5.1
11;5.2
11;5.3
11;5.2
11;5.4
11;5.6
10;5.4
10;5.2
10;5
10;4.5
11;4.2
10;4.4
10;4.5
10;4.8
10;5.3
10;6.1
11;7.1
11;7.6
11;7
11;6.4
11;6
12;5.6
12;5.8
12;6.3
12;6.4
11;6.6
11;7
11;8.2
11;9.5
10;9.5
10;8.8
10;7.9
10;7.5
9;7.4
9;7.2
8;7.1
8;7
9;6.9
9;6.8
9;7
9;7.2
9;7.1
9;7.1
9;6.8
9;6.4
9;6.8
9;7
8;6.8
9;7.1
9;6.8
9;6
8;5.7
8;4.9
8;3.7
8;3
7;2.7
7;2.2
7;1.3
7;1.1
7;1
7;1.1
6;1.3
6;1.4
6;1.7
6;1.9
6;2.4
6;3.2
6;4.3
6;5.3
6;5.8
6;5.8
6;5.6
6;5.2
6;4.9
6;4.9
6;5.1
6;4.6
5;4
4;4.6
2;5
2;5.1
2;4.9
2;4.7
1;5
1;5.4
0;5.5
0;5.5
0;5.6
0;6.1
1;6.4
1;7.1
2;7.7
2;7.7
3;7.6
3;7.4
4;6.6
4;5.8
3.55;5.4
3.396666667;5.2
3.463333333;5.1
3.371666667;4.9
3.468333333;4.5
3.246666667;4.5
3.143333333;4.3
3.101666667;3.9
3.045;3.8
1.858333333;3.7
1.823333333;3.5
2.066666667;3.2
1.983333333;2.8
2.066666667;2.6
1.491666667;2.4
1.375;2.4
1.088333333;2.7
1.26;3
1.25;3.3
2.116666667;3.5
2.34;3.3
3.55;3
3.376666667;2.6
2.853333333;2.4
2.951666667;2.7
2.096666667;3.2
1.36;3.8
0.985;4.4
0.86;5
0.713333333;5.6
0.68;6
0.793333333;6.4
1.2;6.9
1.335;7.2
1.738333333;7.4
1.956666667;7.4
1.988333333;7.3
1.873333333;7
1.066666667;6.7
1.176666667;6.5
1.32;6.4
1.021666667;6.4
1.265;7.1
1.92;7.4
2.735;6.6
3.143333333;6.4
3.1;6.5
1.946666667;6
2.306666667;5.6
2.438333333;5.5
1.905;5.2
1.305;5.2
1.355;4.9
1.888333333;3.5
2.163333333;2.2
1.413333333;2.1
0.405;2.6
0.363333333;2.6
0.57;2.8
0.851666667;3.1
1.04;3.3
0.448333333;3.4
0.55;3.9
0.658333333;4.5
0.706666667;5.2
0.628333333;5.7
0.64;6.3
0.895;6.7
1.205;7.5
1.555;8.5
1.651666667;8.5
2.065;8.5
2.478333333;8.6
2.883333333;8.6
3.075;8.7
3.375;8.8
3.553333333;8.6
3.935;8.2
4.148333333;7.1
4.471666667;6.5
4.858333333;8.1
5.261666667;8.4
3.993333333;7.6
3.505;7.7
3.933333333;7.5
3.926666667;6.9
3.971666667;6.2
3.423333333;5.8
2.96;5.4
2.848333333;5.3
3.015;5.4
3.418333333;5.3
3.826666667;5
4.43;4.7
4.62;3.9
4.608333333;2.9
3.838333333;2.8
3.083333333;3
2.286666667;2.9
2.63;2.8
2.496666667;2.6
1.806666667;2.2
1.198333333;1.8
0.776666667;1.7
0.53;1.8
0.293333333;1.8
0.628333333;1.8
0.75;2
0.511666667;2.2
0.326666667;2.5
0.186666667;2.7
-0.101666667;2.9
-1.036666667;2.9
-1.208333333;2.5
-1.01;2.3
-0.911666667;2.2
-0.65;2
-0.121666667;2
0.451666667;1.9
0.96;1.8
0.888333333;1.8
0.255;2
-0.205;2
-0.445;2
-0.668333333;2.3
-0.89;2.9
-1.265;3.4
-1.523333333;3.4
-1.87;3.3
-1.818333333;3.2
-2.061666667;3.3
-2.08;3.2
-2.165;3.2
-2.098333333;3.4
-1.973333333;3.4
-2.003333333;3.3
-1.611666667;3.2
-1.291666667;3.2
-0.175;3
0.478333333;2.9
1.153333333;2.9
2.751666667;2.8
3.705;2.6
4.408333333;2.5
3.825;2.5
3.406666667;2.4
2.941666667;2.4
2.481666667;2.7
1.798333333;2.7
1.166666667;2.9
1.051666667;3.2
0.43;3.1
0.25;2.9
0.34;2.8
0.096666667;2.7
0.181666667;2.7
0.296666667;2.4
0.016666667;2
0.591666667;1.8
0.626666667;1.8
0.048333333;1.4
0.853333333;1.2
1.561666667;1.2
1.781666667;0.9
1.71;0.6
1.915;0.5
1.885;0.5
1.896666667;0.6
2.025;0.7
2.191666667;0.3
1.846666667;0.5
2.04;1
2.063333333;0.6
1.818333333;0.2
1.438333333;0.4
1.22;1
0.908333333;1.2
0.638333333;1.3
0.266666667;1.5
-0.131666667;1.7
-0.465;1.9
-0.518333333;2
-0.763333333;2
-1.16;2.1
-1.393333333;2.2
-1.35;1.8
-0.976666667;1.2
0.405;0.8
2.438333333;0.7
4.956666667;0.7
6.738333333;0.7
7.008333333;1.2
6.356666667;1.7
5.243333333;1.8
4.28;1.8
4.148333333;1.7
3.568333333;1.7
3.205;1.8
2.126666667;1.7
2.186666667;1.5
1.52;1.3
0.775;1.4
0.788333333;1.5
0.133333333;1.7
0.011666667;1.7
0.206666667;1.8
-0.335;1.9
-0.356666667;1.9
-0.273333333;1.9
-0.075;1.9
1.075;1.7
3.168333333;1.2
4.396666667;1.2
6.783333333;1.1
7.686666667;1.1
7.615;1.4
6.705;1.9
5.435;2.1
4.025;2.1
3.053333333;1.9
2.346666667;1.6
1.991666667;1.4
0.755;1.3
-0.815;1.3
-0.95;1.4
-1.431666667;1.6
-1.303333333;1.9
-1.248333333;2.1
-2.15;2.3
-2.491666667;2.5
-2.79;2.6
-3.028333333;2.8
-3.156666667;3.1
-2.735;3.1
-1.196666667;2.5
0.181666667;2
1.528333333;1.7
4.916666667;1.2
5.996666667;0.7
5.546666667;0.9
4.886666667;1.4
3.095;1.9
2.148333333;2.5
2.906666667;2.9
2.048333333;3.1
2.66;3.1
3.451666667;3.1
1.771666667;3.2
1.158333333;3.2
0.69;3.2
0.233333333;3.2
0.341666667;3.3
0.315;3.4
0.553333333;3.4
0.625;3.5
0.763333333;3.9
1;4.4
1.191666667;4.6
1.315;4.8
1.545;5
1.978333333;4.8
2.386666667;4.5
2.55;4.6
2.601666667;4.6
2.503333333;4.6
2.316666667;4.6
2.156666667;4.6
2.01;4.5
1.885;4.4
1.701666667;4
1.761666667;3.8
1.835;3.8
1.998333333;3.8
2.271666667;3.7
2.37;3.6
2.575;3.6
2.636666667;3.6
2.995;3.5
3.211666667;3.7
3.38;4
3.438333333;4.3
3.581666667;4.5
4.035;4.8
4.323333333;4.8
4.888333333;4.4
5.283333333;4
5.136666667;3.7
5.038333333;3.7
5.073333333;3.6
5.088135593;3.7
4.418333333;3.5
4.566666667;3
5.02;2.7
5.038333333;2.2
5.003333333;1.8
5.016666667;1.9
5.011666667;1.9
5.01;1.7
4.92;1.6
4.888333333;1.6
4.806666667;1.5
4.796666667;1.3
4.708333333;1.1
4.555;1
4.631666667;0.7
4.796666667;0.7
4.935;1.3
5.28;1.6
5.823333333;1.7
6.808333333;1.7
6.981666667;1.6
6.906666667;1.6
6.486666667;2
5.976666667;2.4
5.248333333;2.5
4.453333333;2.3
3.643333333;2.6
2.628333333;2.6
1.445;2.4
1.003333333;2.3
0.99;2.2
1.31;2.3
1.633333333;2.1
1.823333333;2.1
2.33;2.5
2.375;3.2
2.441666667;3.6
2.501666667;3.7
2.653333333;3.9
2.821666667;4.3
2.931666667;4.4
2.991666667;4.4
2.886666667;4.5
2.85;4.6
2.636666667;4.6
2.686666667;4.9
2.79;5.1
2.866666667;5.2
3.206666667;5
3.661666667;4.6
4.1;4.5
4.451666667;4.2
4.58;3.4
4.17;3
3.35;3
2.483333333;3
2.18;3
2.138333333;3.5
2.206666667;4.1
2.34;4.4
2.396666667;4.7
2.388333333;4.7
2.306666667;4.8
2.085;4.5
2.421666667;4.2
2.728333333;4.6
2.818333333;4.7
2.923333333;4.8
2.833333333;4.9
2.65;4.5
2.436666667;4.2
1.085;4
0.963333333;3.8
1.22;3.6
0.883333333;3.5
0.743333333;3.5
0.623333333;3.2
0.521666667;3.1
0.545;3
0.591666667;2.8
0.55;2.8
0.21;2.8
-0.136666667;2.7
0.143333333;2.5
0.231666667;2.2
0.375;2.2
0.695;2.3
1.1;2.6
1.733333333;2.9
2.46;3
2.888333333;3.2
3.453333333;3.2
4.016666667;3.2
4.275;3.4
4.051666667;3.8
3.708333333;4.1
3.591666667;4.3
3.496666667;4.2
3.291666667;3.8
3.036666667;3.4
2.685;3.2
2.571666667;3.3
2.651666667;3.4
2.585;3.3
2.645;3
2.701666667;3
2.776666667;3.1
2.783333333;3.1
2.861666667;3.1
2.946666667;3
3.13;2.9
3.32;2.8
3.521666667;3.1
3.985;3.4
4.195;3.5
4.311666667;3.7
4.443333333;3.6
4.42;3.1
4.206666667;2.7
3.915;2.7
3.816666667;2.6
3.768333333;2.4
3.568333333;2.1
3.416666667;1.9
3.406666667;1.7
3.398333333;1.8
3.366666667;1.8
3.375;1.6
3.258333333;1.2
3.158333333;1
3.121666667;0.9
3.026666667;0.4
2.983333333;0.2
2.983333333;0.3
2.996666667;0.5
3.143333333;0.9
3.483333333;1.3
3.981666667;1.3
4.031666667;1.3
4.225;1.4
4.285;1.5
4.18;1.4
4.061666667;1.6
3.923333333;1.7
3.663333333;1.8
3.49;1.9
3.218333333;1.9
3.111666667;1.9
3.008333333;1.9
2.82;1.8
2.62;1.9
1.941666667;2
0.7;2.4
1.903333333;2.6
1.99;2.3
1.526666667;2
1.688333333;1.9
1.753333333;1.7
1.046666667;1.7
1.5;1.6
2.188333333;1.1
3.271666667;1.1
4.715;1.2
5.57;1.5
6.256666667;1.5
5.508333333;1.8
4.525;2.1
3.326666667;1.9
2.581666667;1.7
2.028333333;1.4
1.38;1.3
0.935;1.3
0.626666667;1.2
0.563333333;1
0.273333333;0.8
0.413333333;0.7
-0.328333333;0.9
-0.941666667;1.2
-1.318333333;1.4
-1.503333333;1.4
-1.521666667;1.3
-1.628333333;1.1
-1.805;1
-1.131666667;0.9
-0.511666667;0.5
-0.453333333;0.2
-0.311666667;0.9
0.921666667;1.3
0.62;1.4
1.195;1.5
1.11;1.5
0.936666667;1.3
0.861666667;1.1
0.761666667;1
0.726666667;0.9
0.745;0.8
0.813333333;1.1
0.79;1.5
0.613333333;1.9
0.203333333;2.1
0.045;2
-0.145;1.8
-0.206666667;1.8
-0.371666667;1.9
-0.488333333;2.1
-0.46;2.5
-0.506666667;3.1
-0.456666667;3.5
-0.071666667;3.6
0.321666667;3.6
0.503333333;3.6
0.47;3.5
0.5;3.2
0.673333333;3.1
0.55;3
0.41;3
0.468333333;3.3
0.443333333;3.8
0.298333333;4
0.58;4.2
0.7;4.5
0.446666667;4.7
0.405;4.9
0.548333333;5.2
0.658333333;5.4
0.956666667;5.4
1.348333333;5.5
1.778333333;5.7
2.206666667;5.9
2.298333333;6.2
2.54;6.4
3.538333333;6.1
3.896666667;5.8
4.2;5.8
4.746666667;5.8
5.071666667;5.8
5.351666667;5.9
5.573333333;5.8
5.798333333;5.6
6.156666667;5.2
6.345;5.2
6.396666667;5.5
6.075;5.3
6.006666667;4.7
5.641666667;3.9
5.471666667;3.8
5.068333333;4
4.361666667;3.9
4.091666667;3.4
3.355;3.1
2.81;2.7
2.621666667;2.4
2.13;2.4
1.98;2.7
1.918333333;2.9
2.815;3
3.548333333;3
4.241666667;2.9
4.428333333;3
4.231666667;3.2
3.321666667;3.5
3.335;3.5
4.043333333;3.3
4.275;3.7
4.198333333;4.3
3.885;4.7
3.665;4.8
3.728333333;5
3.865;5.2
4.143333333;5.6
4.318333333;5.6
4.471666667;5.5
4.471666667;5.7
4.38;6
4.355;6.1
4.446666667;6
4.511666667;6
4.811666667;6.1
5.095;6.2
5.665;5.8
6.146666667;5.4
6.85;5.9
7.756666667;6.6
8.471666667;7.2
8.983333333;7.2
9.078333333;7.2
9.216666667;7.4
8.928333333;7.3
8.57;7.1
8.815;6.8
8.891666667;6.5
8.855;6.1
8.338333333;5.8
7.71;5.7
7.081666667;5.3
5.956666667;4.9
5.308333333;4.5
4.866666667;4.2
4.465;3.8
3.65;3.3
3.085;3.1
3.015;3
3.191666667;3.1
3.141666667;3.3
4.228333333;3.7
4.955;3.8
5.508333333;3.8
5.485;3.7
5.818333333;3.5
5.04;2.8
4.805;2
4.5;2.2
4.148333333;2.7
4;3.1
3.748333333;3.6
3.315;4
3.166666667;4.8
3.391666667;5.7
3.445;6.5
3.448333333;7.2
3.71;7.7
3.175;7.8
3.426666667;7.6
4.221666667;7.6
4.621666667;7.9
4.608333333;8.1
4.44;8.5
3.96;8.6
3.903333333;8.5
3.92;9.4
4.145;10.1
3.481666667;9.9
3.22;9.5
2.911666667;9.1
2.845;9
2.718333333;8.8
2.725;8.5
3.058333333;8.2
3.558333333;8.2
3.583333333;7.1
2.29;5.5
2.275;4.8
2.031666667;4.4
1.863333333;4.4
1.26;4.4
1.62;4.5
1.861666667;4.7
1.828333333;4.8
2.058333333;5
2.05;5.5
2.051666667;6.1
2.503333333;6.7
3.373333333;6.8
3.896666667;6.6
4.478333333;6.4
5.308333333;6.6
5.908333333;7.1
6.323333333;7.2
6.91;7.2
7.436666667;7.1
7.683333333;6.8
7.785;6.7
7.588333333;6.8
7.641666667;6.7
7.751666667;6.5
7.898333333;6.4
7.79;6.2
7.625;6.1
7.408333333;5.7
7.358333333;5.4
7.16;5.5
7.06;5.7
6.97;5.5
6.9;5
6.968333333;4.8
7;4.1
7.301666667;4.2
7.616666667;4.5
7.8;3.9
7.538333333;3.6
7.485;3.1
7.54;2.6
7.643333333;2.6
7.358333333;3.1
7.226666667;3.3
7.495;3.4
7.606666667;3.3
7.518333333;3.4
7.37;3.5
7.363333333;3.4
7.356666667;3.4
7.2;3.3
7.043333333;3.3
6.821666667;3.2
6.716666667;3.4
6.52;3.7
6.373333333;4
6.283333333;4.4
6.208333333;4.9
5.965;5.1
5.895;5.4
5.81;5.6
5.75;5.3
5.526666667;5.1
5.445;5
5.741666667;4.5
5.656666667;4.2
5.355;4.3
5.24;4.4
5.155;4.5
5.185;4.6
5.095;4.4
5.005;4.3
5.005;4.4
5.026666667;4.5
5.1;4.7
5.153333333;4.9
5.235;5
5.345;5.2
5.356666667;5.4
5.451666667;5.6
5.525;5.9
5.601666667;6.4
5.875;6.6
6.268333333;7.1
6.733333333;8.2
6.291666667;8.4
6.368333333;7.9
6.911666667;8.2
6.9;8.7
6.383333333;8.2
4.145;7.3
3.078333333;5.5
2.51;5.3
2.283333333;5.5
1.941666667;5.3
2.333333333;5.2
2.633333333;5.2
2.06;4.8
1.951666667;4.5
1.498333333;4.5
1.283333333;4.6
1.106666667;4.6
0.996666667;4.5
1.045;4.4
0.776666667;4.5
0.97;4.7
2.228333333;5.1
3.208333333;5.4
4.391666667;5.7
4.978333333;6
6.641666667;6.4
6.431666667;6.8
6.643333333;6.8
5.815;6.8
5.058333333;7.3
4.85;7.8
5.026666667;8.1
5.24;8.4
5.531666667;8.7
5.79;8.7
5.773333333;8.8
5.31;9
5.67;9.2
6.11;9.3
6.256666667;9.5
6.21;9.4
5.785;9.5
5.403333333;9.8
5.471666667;10
5.57;10.2
5.765;10.3
5.955;10.8
6.116666667;11.7
6.511666667;11.2
7.29;10
5.671666667;9.2
5.448333333;8.1
6.41;7.6
7.02;7.5
7.055;8.7
6.693333333;9.9
4.67;9.1
3.548333333;7.9
2.348333333;7.7
3.005;8.3
3.413333333;8.2
2.796666667;7.3
1.353333333;6.5
2.008333333;5.9
2.34;5.5
2.401666667;5.4
2.38;5.1
2.338333333;4.7
2.281666667;4.5
2.485;5.2
3.45;5.7
4.425;5.5
5.548333333;5.5
6.231666667;5.2
7.138333333;4.9
6.356666667;4.5
5.545;4
4.31;4.1
3.198333333;4.3
3;4.2
3.563333333;4.3
2.88;4.9
3.36;5.2
4.013333333;5.1
4.041666667;5.2
3.795;5.5
3.996666667;5.7
4.633333333;5.6
5.05;5.6
5.471666667;5.8
5.668333333;5.8
5.933333333;5.9
6.265;5.8
6.621666667;5.5
7.208333333;5.7
7.683333333;6
7.955;6.2
8.775;6.4
8.401666667;5.9
8.516666667;5
8.69;4.6
8.226666667;4.7
7.99;4.6
7.936666667;4.5
7.806666667;4.7
7.796666667;4.5
7.695;4.2
7.536666667;4.4
7.488333333;4.6
7.393333333;4.7
7.301666667;4.7
7.15;4.6
6.963333333;4.5
6.958333333;4.2
7.096666667;4.1
7.195;4.4
7.13;4.6
7.186666667;4.6
7.315;4.4
8.651666667;4.2
9.965;4.3
10.78833333;4
12.06333333;3.2
11.60833333;2.3
10.415;1.8
8.793333333;1.8
7.048333333;1.2
6.208333333;1.2
5.608333333;1.6
5.703333333;1.9
5.368333333;2.2
5.08;2.3
4.313333333;2.3
4.431666667;2.4
3.723333333;2.5
3.471666667;2.7
3.193333333;2.8
3.568333333;3
4.378333333;3.4
4.488333333;4
4.898333333;4.7
5.645;5.2
6.103333333;5.1
6.65;5.1
6.533333333;5
6.36;4
6.323333333;3
6.248333333;2.3
6.088333333;2.2
5.673333333;2.6
5.345;2.9
3.693333333;3.2
2.865;3.8
2.32;3.5
1.463333333;3.2
1.365;3.7
1.303333333;4
1.036666667;4
1.088333333;4.1
0.806666667;4.5
1.161666667;4.8
1.573333333;4.9
1.946666667;5
2.255;5
2.363333333;5.4
2.78;5.4
3.556666667;5.3
4.1;5.1
4.703333333;4.6
4.508333333;4.2
5.553333333;3.9
4.68;3
4.766666667;2.1
4.325;1.4
2.705;0.8
2.548333333;1.3
1.945;1.5
0.651666667;1.6
0.338333333;1.9
0.035;2.3
-0.5;2.5
-0.801666667;2.7
-1.076666667;2.8
-1.148333333;2.9
-1.236666667;3
-1.29;3.1
-1.328333333;3.1
-1.223333333;3.3
-0.57;3.6
-0.001666667;3.9
0.943333333;4.5
2.99;5.2
4.61;5.3
5.966666667;5.2
6.611666667;4.8
6.475;4.3
5.618333333;4.1
4.448333333;4.5
3.465;5
2.626666667;5.4
1.86;5.6
1.64;5.8
1.685;5.7
1.536666667;5.3
1.266666667;5.3
0.868333333;5.4
0.54;5.6
0.115;5.7
0.175;5.7
-0.038333333;5.9
-0.013333333;6.2
0.173333333;6.4
1.321666667;6.5
2.51;6.3
3.55;6.4
5.661666667;6.6
7.64;6.8
9.278333333;6.9
10.73666667;7.3
10.42166667;7.9
9.02;8
8.613333333;8
8.456666667;8.3
8.651666667;8.6
8.618333333;8.8
8.851666667;8.7
8.633333333;8.5
8.79;8.1
8.703333333;8
8.815;8.5
8.665;9
8.57;9.1
8.725;9
9.105;8.9
8.588333333;8.8
8.365;8.4
8.55;7.5
8.09;6.4
8.233333333;6.3
8.59;6.8
8.568333333;6.7
9.178333333;7
9.546666667;7.1
10.605;6.2
9.158333333;5.6
7.513333333;5.4
6.583333333;5.3
5.635;4.9
5.368333333;4.6
5.048333333;4.6
5.026666667;4.1
5.208333333;3.4
5.601666667;3.3
5.113333333;3.1
5.346666667;3
5.346666667;3.2
4.923333333;3.6
4.696666667;3.9
4.588333333;4.1
4.43;4.4
4.666666667;5
5.05;5.5
5.625;6
6.705;6.6
7.755;7
8.498333333;7.2
9.083333333;7.1
8.7;7.2
7.901666667;7.6
7.365;7.9
7.208333333;8.2
6.736666667;8.3
6.285;8.3
6.245;8.2
6.3;8.1
6.318333333;7.9
6.483333333;7.7
6.671666667;7.5
6.86;7.5
6.965;7.6
7.135;8
7.308333333;8.5
7.448333333;8.9
7.61;9
8.055;8.8
